grievance_text,category,priority
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
Students do not have adequate facilities in the public school.,EDUCATION,LOW
Residents are requesting improvements to the neighborhood park. Please arrange the necessary civic action.,PARKS,MEDIUM
Please review this community issue and assign it to the appropriate authority. Please arrange the necessary civic action.,OTHER,MEDIUM
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
A blocked drainage pipe is causing flooding near homes. The issue has been reported by local residents.,DRAINAGE,HIGH
The local park has broken children's play equipment.,PARKS,LOW
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
Deep cracks have appeared across the roadway and need resurfacing. People in the locality are requesting a solution.,ROAD,MEDIUM
Residents are facing a shortage of municipal water. The issue has been reported by local residents.,WATER,HIGH
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
The apartment building has unsafe residential conditions. People in the locality are requesting a solution.,HOUSING,HIGH
The local intersection needs improved traffic control. Please arrange the necessary civic action.,TRAFFIC,MEDIUM
Uneven pavement is making it difficult for vehicles to travel safely. Residents have requested prompt action.,ROAD,MEDIUM
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
Our government housing unit has serious structural damage. The issue has been reported by local residents.,HOUSING,CRITICAL
The voltage supply is unstable in our area. The issue has been reported by local residents.,ELECTRICITY,MEDIUM
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
Tenants are requesting assistance with unsafe residential accommodation. Residents have requested prompt action.,HOUSING,CRITICAL
The public hospital needs more doctors and nurses.,HEALTHCARE,CRITICAL
Residents are requesting assistance with a miscellaneous civic matter. The issue has been reported by local residents.,OTHER,LOW
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
The housing block requires structural repairs and safer accommodation. Please arrange the necessary civic action.,HOUSING,HIGH
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
People feel unsafe because the public location is poorly monitored. The issue has been reported by local residents.,PUBLIC_SAFETY,HIGH
Residents are facing difficulty getting treatment at the public clinic. The issue has been reported by local residents.,HEALTHCARE,CRITICAL
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
A disabled-access entrance is missing at the government office. People in the locality are requesting a solution.,DISABILITY_ACCESS,HIGH
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
Students are facing problems because school facilities are damaged. People in the locality are requesting a solution.,EDUCATION,MEDIUM
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
The government building needs accessibility features for people with disabilities. Residents have requested prompt action.,DISABILITY_ACCESS,HIGH
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
The electrical supply is unstable and affecting households. Please arrange the necessary civic action.,ELECTRICITY,MEDIUM
Residents feel unsafe in the public area because there is no security.,PUBLIC_SAFETY,HIGH
Traffic movement is slow because of congestion at the junction. The issue has been reported by local residents.,TRAFFIC,HIGH
There is no wheelchair ramp at the entrance of the public building.,DISABILITY_ACCESS,HIGH
Rainwater is accumulating because the drainage channel is blocked. Residents have requested prompt action.,DRAINAGE,MEDIUM
Residents are experiencing repeated power failures. The issue has been reported by local residents.,ELECTRICITY,HIGH
The main street has damaged asphalt and requires road maintenance. The issue has been reported by local residents.,ROAD,MEDIUM
The government school needs additional classrooms for students. The issue has been reported by local residents.,EDUCATION,LOW
Our neighborhood needs help with an unspecified municipal concern.,OTHER,MEDIUM
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
Environmental pollution is affecting the community. The issue has been reported by local residents.,ENVIRONMENT,HIGH
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
The public area has a security problem that needs immediate attention. Residents have requested prompt action.,PUBLIC_SAFETY,HIGH
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
The electrical supply is unstable and affecting households. Please arrange the necessary civic action.,ELECTRICITY,MEDIUM
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The park's recreational facilities are damaged. The issue has been reported by local residents.,PARKS,LOW
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The drainage line is overflowing near the houses. People in the locality are requesting a solution.,DRAINAGE,HIGH
Public buses are not available regularly on this route. Please arrange the necessary civic action.,PUBLIC_TRANSPORT,MEDIUM
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
The municipal garbage collection service needs attention. Please arrange the necessary civic action.,WASTE,MEDIUM
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
The local intersection needs improved traffic control. Please arrange the necessary civic action.,TRAFFIC,MEDIUM
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
Residents are facing a shortage of municipal water. The issue has been reported by local residents.,WATER,HIGH
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
Trash is accumulating at the designated collection point.,WASTE,LOW
Residents are concerned about worsening air quality. People in the locality are requesting a solution.,ENVIRONMENT,MEDIUM
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
Residents are concerned about worsening air quality. People in the locality are requesting a solution.,ENVIRONMENT,MEDIUM
I want to report a local community matter that does not fit another category. The issue has been reported by local residents.,OTHER,MEDIUM
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
The housing block requires structural repairs and safer accommodation. The issue has been reported by local residents.,HOUSING,HIGH
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
A disabled-access entrance is missing at the government office. People in the locality are requesting a solution.,DISABILITY_ACCESS,HIGH
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
Our neighborhood is experiencing frequent power cuts.,ELECTRICITY,HIGH
The government school needs repairs to its classrooms and learning facilities. Please arrange the necessary civic action.,EDUCATION,MEDIUM
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
Our neighborhood is experiencing frequent power cuts.,ELECTRICITY,HIGH
The electrical supply is unstable and affecting households. Please arrange the necessary civic action.,ELECTRICITY,MEDIUM
The public restroom has unhygienic facilities. People in the locality are requesting a solution.,PUBLIC_TOILETS,MEDIUM
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
My application at the government office has been pending for weeks.,GOVERNMENT_SERVICES,MEDIUM
Residents need a properly maintained public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,MEDIUM
Residents are facing problems with their government housing accommodation. Please arrange the necessary civic action.,HOUSING,CRITICAL
Electricity service is unreliable on our street. Residents have requested prompt action.,ELECTRICITY,HIGH
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
The local clinic needs better healthcare services for patients. Please arrange the necessary civic action.,HEALTHCARE,CRITICAL
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
Tenants are requesting assistance with unsafe residential accommodation.,HOUSING,CRITICAL
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
Waste collection is irregular in our neighborhood. People in the locality are requesting a solution.,WASTE,MEDIUM
Residents need assistance with damaged government housing units. People in the locality are requesting a solution.,HOUSING,CRITICAL
The municipal garbage collection service needs attention. Please arrange the necessary civic action.,WASTE,MEDIUM
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
I am unable to get a response about my government service request. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,MEDIUM
The lighting on our street is not functioning at night. People in the locality are requesting a solution.,STREETLIGHT,LOW
Peak hour traffic is causing long delays at the junction. People in the locality are requesting a solution.,TRAFFIC,HIGH
Residents are facing difficulty getting treatment at the public clinic. The issue has been reported by local residents.,HEALTHCARE,CRITICAL
The drain is blocked and dirty water is overflowing.,DRAINAGE,HIGH
People are dumping waste into the lake and polluting the water body. Residents have requested prompt action.,ENVIRONMENT,MEDIUM
A dangerous public area needs better security measures. People in the locality are requesting a solution.,PUBLIC_SAFETY,HIGH
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
Students are requesting repairs to school classrooms and educational facilities.,EDUCATION,LOW
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
Families are waiting for affordable public housing assistance. The issue has been reported by local residents.,HOUSING,CRITICAL
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
Rainwater is accumulating because the drainage channel is blocked. Residents have requested prompt action.,DRAINAGE,MEDIUM
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
The road remains dark because the street lights are off. People in the locality are requesting a solution.,STREETLIGHT,MEDIUM
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
Uncollected garbage is creating an unpleasant smell. The issue has been reported by local residents.,WASTE,LOW
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
Uncollected garbage is creating an unpleasant smell. The issue has been reported by local residents.,WASTE,LOW
I need assistance with a pending government service request. Please arrange the necessary civic action.,GOVERNMENT_SERVICES,MEDIUM
The main street has damaged asphalt and requires road maintenance. The issue has been reported by local residents.,ROAD,MEDIUM
The public office has not provided an update on my application. Residents have requested prompt action.,GOVERNMENT_SERVICES,LOW
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
Residents are facing repeated electrical outages. People in the locality are requesting a solution.,ELECTRICITY,HIGH
The government clinic does not have enough doctors for patients.,HEALTHCARE,HIGH
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
The drain is blocked and dirty water is overflowing.,DRAINAGE,HIGH
People are concerned about personal safety in the isolated public space. Residents have requested prompt action.,PUBLIC_SAFETY,CRITICAL
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
Families are not receiving their scheduled water supply. Residents have requested prompt action.,WATER,HIGH
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
An accessible pathway is needed at the public service building. The issue has been reported by local residents.,DISABILITY_ACCESS,HIGH
Commuters are struggling because the scheduled bus service is unreliable.,PUBLIC_TRANSPORT,HIGH
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
The government school needs repairs to its classrooms and learning facilities. The issue has been reported by local residents.,EDUCATION,MEDIUM
Trash is accumulating at the designated collection point.,WASTE,LOW
A broken lamp post is leaving the street without lighting. The issue has been reported by local residents.,STREETLIGHT,MEDIUM
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
The public garden requires maintenance and cleaning. People in the locality are requesting a solution.,PARKS,MEDIUM
Students do not have adequate facilities in the public school. Please arrange the necessary civic action.,EDUCATION,LOW
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
Several lamp posts on the street have stopped functioning. Residents have requested prompt action.,STREETLIGHT,LOW
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
The community restroom needs regular cleaning and maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,MEDIUM
Large potholes are making the road difficult for vehicles to use.,ROAD,MEDIUM
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
The voltage supply is unstable in our area. The issue has been reported by local residents.,ELECTRICITY,MEDIUM
Passengers need more frequent buses on the public transport route. The issue has been reported by local residents.,PUBLIC_TRANSPORT,MEDIUM
Large potholes are making the road difficult for vehicles to use.,ROAD,MEDIUM
I would like to submit a general civic complaint for official review. Residents have requested prompt action.,OTHER,LOW
Trash is accumulating at the designated collection point.,WASTE,LOW
The tap water service is unreliable in our neighborhood. People in the locality are requesting a solution.,WATER,MEDIUM
Peak hour traffic is causing long delays at the junction. People in the locality are requesting a solution.,TRAFFIC,HIGH
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
There is no wheelchair ramp at the entrance of the public building.,DISABILITY_ACCESS,HIGH
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
Residents want better safety measures around the public gathering area. People in the locality are requesting a solution.,PUBLIC_SAFETY,CRITICAL
There is a municipal issue in my area that requires attention. Residents have requested prompt action.,OTHER,MEDIUM
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
A blocked drainage pipe is causing flooding near homes. The issue has been reported by local residents.,DRAINAGE,HIGH
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The park benches and recreational facilities are damaged. People in the locality are requesting a solution.,PARKS,LOW
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
There is a municipal issue in my area that requires attention. Residents have requested prompt action.,OTHER,MEDIUM
My application at the government office has been pending for weeks.,GOVERNMENT_SERVICES,MEDIUM
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
Large potholes are making the road difficult for vehicles to use.,ROAD,MEDIUM
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
I need assistance with a pending government service request. Please arrange the necessary civic action.,GOVERNMENT_SERVICES,MEDIUM
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
The local park has broken children's play equipment.,PARKS,LOW
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
The drainage line is overflowing near the houses. People in the locality are requesting a solution.,DRAINAGE,HIGH
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
The public premises do not provide proper accessibility facilities. Please arrange the necessary civic action.,DISABILITY_ACCESS,HIGH
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
Residents need a properly maintained public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,MEDIUM
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
Residents are experiencing repeated power failures. The issue has been reported by local residents.,ELECTRICITY,HIGH
The city bus on our route is very infrequent.,PUBLIC_TRANSPORT,MEDIUM
The public washroom is unhygienic and requires attention. People in the locality are requesting a solution.,PUBLIC_TOILETS,LOW
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
The electrical supply is unstable and affecting households. Please arrange the necessary civic action.,ELECTRICITY,MEDIUM
A dangerous public area needs better security measures. People in the locality are requesting a solution.,PUBLIC_SAFETY,HIGH
Residents are facing repeated electrical outages. People in the locality are requesting a solution.,ELECTRICITY,HIGH
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
My application at the government office has been pending for weeks.,GOVERNMENT_SERVICES,MEDIUM
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
The asphalt surface of the main road is badly damaged. Residents have requested prompt action.,ROAD,HIGH
Residents are facing difficulty getting treatment at the public clinic. The issue has been reported by local residents.,HEALTHCARE,CRITICAL
Students are facing problems because school facilities are damaged. Please arrange the necessary civic action.,EDUCATION,MEDIUM
The public water supply has stopped since yesterday.,WATER,MEDIUM
Several families are living in unsafe residential buildings. Residents have requested prompt action.,HOUSING,HIGH
I need an update about a pending government application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,MEDIUM
Industrial activity is causing pollution in the surrounding area.,ENVIRONMENT,HIGH
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
The neighborhood needs action to protect the local environment. Please arrange the necessary civic action.,ENVIRONMENT,HIGH
The apartment building has unsafe residential conditions. Residents have requested prompt action.,HOUSING,HIGH
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
A dangerous public area needs better security measures. People in the locality are requesting a solution.,PUBLIC_SAFETY,HIGH
Environmental pollution is affecting the community. The issue has been reported by local residents.,ENVIRONMENT,HIGH
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
Our neighborhood is experiencing frequent power cuts.,ELECTRICITY,HIGH
Residents are concerned about worsening air quality. People in the locality are requesting a solution.,ENVIRONMENT,MEDIUM
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
A major traffic jam forms near the signal every morning.,TRAFFIC,MEDIUM
The college campus needs better facilities for students. People in the locality are requesting a solution.,EDUCATION,MEDIUM
Stray dogs are causing problems near the residential buildings.,ANIMAL_CONTROL,MEDIUM
Families need support for safe and affordable accommodation.,HOUSING,CRITICAL
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
A clogged drain is causing water to collect on the street. The issue has been reported by local residents.,DRAINAGE,MEDIUM
Please review this community issue and assign it to the appropriate authority. Please arrange the necessary civic action.,OTHER,MEDIUM
The public premises do not provide proper accessibility facilities. Please arrange the necessary civic action.,DISABILITY_ACCESS,HIGH
Families need support for safe and affordable accommodation. The issue has been reported by local residents.,HOUSING,CRITICAL
The local lake is being polluted by improper dumping. Residents have requested prompt action.,ENVIRONMENT,HIGH
Residents need assistance with damaged government housing units. The issue has been reported by local residents.,HOUSING,CRITICAL
Residents need a properly maintained public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,MEDIUM
The government office has not processed my submitted application.,GOVERNMENT_SERVICES,LOW
The open drain is overflowing after rainfall. People in the locality are requesting a solution.,DRAINAGE,MEDIUM
I would like to submit a general civic complaint for official review. Residents have requested prompt action.,OTHER,LOW
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
An accessible pathway is needed at the public service building. The issue has been reported by local residents.,DISABILITY_ACCESS,HIGH
The local park has broken children's play equipment.,PARKS,LOW
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
The department has delayed my application without an explanation. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,LOW
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
There has been no drinking water supply in our neighborhood.,WATER,HIGH
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
The lighting on our street is not functioning at night. People in the locality are requesting a solution.,STREETLIGHT,LOW
I want to report a local community matter that does not fit another category. The issue has been reported by local residents.,OTHER,MEDIUM
Residents are facing a delay in garbage pickup. Residents have requested prompt action.,WASTE,MEDIUM
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
The road needs resurfacing because the asphalt has worn away.,ROAD,HIGH
The local park has broken children's play equipment.,PARKS,LOW
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
Commuters are struggling because the scheduled bus service is unreliable.,PUBLIC_TRANSPORT,HIGH
The public school requires improvements to its learning environment. Residents have requested prompt action.,EDUCATION,LOW
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
Residents need a properly maintained public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,MEDIUM
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
Stray cattle are creating a problem in the local area.,ANIMAL_CONTROL,HIGH
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
Students are facing problems because school facilities are damaged. Please arrange the necessary civic action.,EDUCATION,MEDIUM
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The city bus on our route is very infrequent.,PUBLIC_TRANSPORT,MEDIUM
Public buses are not available regularly on this route. Please arrange the necessary civic action.,PUBLIC_TRANSPORT,MEDIUM
Patients at the public health centre are waiting for hours. Residents have requested prompt action.,HEALTHCARE,CRITICAL
Frequent blackouts are affecting homes in our neighborhood.,ELECTRICITY,MEDIUM
An accessible pathway is needed at the public service building. The issue has been reported by local residents.,DISABILITY_ACCESS,HIGH
The government building needs accessibility features for people with disabilities. Residents have requested prompt action.,DISABILITY_ACCESS,HIGH
The community park needs maintenance of its walking paths.,PARKS,MEDIUM
Large potholes are making the road difficult for vehicles to use.,ROAD,MEDIUM
The building needs accessible pathways for people with disabilities. The issue has been reported by local residents.,DISABILITY_ACCESS,MEDIUM
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
Our neighborhood needs help with an unspecified municipal concern.,OTHER,MEDIUM
Peak hour traffic is causing long delays at the junction. People in the locality are requesting a solution.,TRAFFIC,HIGH
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
Stray cattle are creating a problem in the local area.,ANIMAL_CONTROL,HIGH
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
The department has delayed my application without an explanation. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,LOW
The public garden requires maintenance and cleaning. People in the locality are requesting a solution.,PARKS,MEDIUM
The local park has broken children's play equipment.,PARKS,LOW
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
Deep cracks have appeared across the roadway and need resurfacing. People in the locality are requesting a solution.,ROAD,MEDIUM
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
The housing block requires structural repairs and safer accommodation. Please arrange the necessary civic action.,HOUSING,HIGH
The public office has not provided an update on my application. Residents have requested prompt action.,GOVERNMENT_SERVICES,LOW
The school laboratory and library require educational infrastructure improvements. People in the locality are requesting a solution.,EDUCATION,LOW
The classroom infrastructure at the school requires maintenance. Residents have requested prompt action.,EDUCATION,MEDIUM
Residents are requesting better sanitation at the public restroom. Please arrange the necessary civic action.,PUBLIC_TOILETS,LOW
The local power supply needs urgent attention. People in the locality are requesting a solution.,ELECTRICITY,MEDIUM
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
A clogged drain is causing water to collect on the street. The issue has been reported by local residents.,DRAINAGE,MEDIUM
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
The municipal garbage collection service needs attention. Please arrange the necessary civic action.,WASTE,MEDIUM
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
Patients are unable to receive timely medical care at the clinic. Residents have requested prompt action.,HEALTHCARE,HIGH
My public service request has not received an official response. Residents have requested prompt action.,GOVERNMENT_SERVICES,MEDIUM
The neighborhood needs action to protect the local environment. Please arrange the necessary civic action.,ENVIRONMENT,HIGH
The drainage line is overflowing near the houses. People in the locality are requesting a solution.,DRAINAGE,HIGH
A large number of stray animals are gathering near the houses. People in the locality are requesting a solution.,ANIMAL_CONTROL,MEDIUM
Students need safer and better-maintained classrooms at the school.,EDUCATION,MEDIUM
A dangerous public area needs better security measures. People in the locality are requesting a solution.,PUBLIC_SAFETY,HIGH
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
I want to report a local community matter that does not fit another category. The issue has been reported by local residents.,OTHER,MEDIUM
The neighborhood needs action to protect the local environment. Please arrange the necessary civic action.,ENVIRONMENT,HIGH
